,text,sentiment
7431,My car is home. Yay! $613.22 Boo!  I`m paying my mom in installments. I gave her $200 today. I so need to win the lottery. :\,neutral
7432,enjoying is the night with her folks.,positive
7433,Nooooo! Its going to rain on my birthday,negative
7434, You try should it. It`s the way of The Deena,neutral
7435,feeling really dizzy  not soo good,negative
7436,"Happy Friday Dance, no rain and I`m about outta here..till 2morrow  I sat the saturday morning shift, its but still all good",positive
7437,Good morning!!! Who wants breakfast??,positive
7438,Loved the sun Did today. not love a black suit and black top plus 6 trains/tubes to get to my meeting and back  Need to shop for summer,positive
7439,Make sure u pick up Chrisette Michele`s new album EPIPHANY in stores tomorrow May 5th! You will love it! Promise!  Congrats ,positive
7440,i doing am homework it sux big time maths is the worst!!!!!!,negative
7441, mark harmon just got shot on my tv,neutral
7442," so cool, if you could help make that happen, & make sure it happens at least once in houston, that`d be great. k? thanks.",positive
7443,I want some Starbucks..,neutral
7444,my to pretty lady  HAPPY MOTHER`S DAY!!! She`s the mother of my future son-in-laws,positive
7445," praying you get better soon you sweet one , sorry your still not well",positive
7446,I  LOVE pb & banana sandwiches!! Still a fav of mine,positive
7447,Saw Fiddler with Topol! The girls LOOOOVED it!  Next month... Annie! 7th row! *can`t wait* Trip 2 the music store for Fiddler sheet music.,positive
7448,_ Oh please mark all toe tweets with #toe.  is trying to make trening topic of out #toe,neutral
7449,Standing ovation for Wieters. Nobody was sitting down. Insane. Hit into double play though,positive
7450, HaHa i Forgot...It`ll Probably On Be Youtube...So I`ll Watch It Later,neutral
7451,"  aaah k..am like a fan incarnated,so kinda like a mutant. till date, Ghalib has never *yet* left my questions unanswered",neutral
7452,Averaged $31 per hour at work today! love Gotta holidays,positive
7453, Oh that`s why.,neutral
7454, to congratss them,positive
7455,"Its not looking too good outside  if this continues, i feel a movie night coming on...",negative
7456, I know... It was just a all joke... in good fun...  some people get my humor & some don`t...,positive
7457,"i`m thinking that tonight`s plans are not gonna happen. sigh...sadface. i shouldn`t be surprised, but i am.",negative
7458,loving life lately!!!!  Looking forward to going to Samantha! see Hanging out with Natalie right now!,positive
7459,Wants to go catch happy hour  to get me a strawberry lemonade slush ( put me on them)...but i dont have my car...super,neutral
7460,out....now Chilling the boys have gone  Time To Relax,positive
7461," Haha, i came home from a long night out, and all i saw on Tweetie was Khayyam Wakil. I usually don`t announce and **** - LOL",neutral
7462,Created a new album on my Facebook for my Phantom cross stitch  I want to track my own so progress I feel like I am getting something done,neutral
7463,the start of my day was finding a lump on my body... went to the hospital... apparently its nothing! fewfffff! bloodtests suck...  haha,neutral
7464,"Up,dressed, and out the house for 11 am a on Sunday. Off to see the fishy fishys",neutral
7465,"I painted my nails metallic blue but Iï¿½m really sure about how it looks, itï¿½s a pretty weird color!! I think itï¿½s cool",neutral
7466," Oh ok,Thanks.Dont know where the courthouse id either,I`ll learn though.Any nkotb? Twitter stole my pic again  hates it me",negative
7467,"all alone.  still watching TWW, eating Italian chocolate and solving logic puzzles.",neutral
7468, wish I I couldn`t wrap my head around it  Hopefully it`ll wake up some people that say/think 'racism doesn`t exist anymore',positive
7469, awwwh - i`m sorry  i hope you fell better - watch a film ?,neutral
7470, Bummer yo.  I`m starting up finals too soon...so I guess I`ll see you around second the week of June then.,negative
7471,"Finally home! Tp tetep, kurang 3BT buat shooting kamis nih! Huaaaa, stress gila! Syapa lg ya?",neutral
7472,Two fantastic in shows a row,positive
7473,"Mooorning! It`s Friday, and that`s terrific! Smile up!    :-|      :-D",positive
7474,At work... supposed to be a day off but too much to work get done for PLM World... sigh,negative
7475, I miss my cats.... But not on Sunday mornings! Mine did that to,negative
7476,Having serious technical issues in the studio oh  well thank god for the technician,neutral
7477,shouldn`t have stayed up til almost 2 reading 'rules' but i did. such a good book. totally worth the sleep deprivation.,positive
7478,"gets sumthin special, but i want more. suatu akankah hari ku kan mendapatkannya...? only GOD knows...",neutral
7479," Oh, that would be riveting TV!   Trips to the break room, coffee, toothpicks in the eyes to keep them open.",positive
7480,"Finally, got I my teaching load confusion cleared. I will teach 3 third year sections but with a catch.",positive
7481, I love finding regional groups of Twitterers! Glad I could connect you with a few new people,positive
7482,Just finished curling her hair!!!! now And has to finish getting ready but doesn`t have a ribbon to put in her hair,neutral
7483, I`m having no luck either  Doing my nut in! Who are you hoping to see?,negative
7484,Woke up from aspirating some stomach acid. I`m praying that I dont acid reflux  and that it was a time one thing,negative
7485, // your FACE is stupid.   thanks... i miss you too. HA!,neutral
7486,trying this with out my sweet lil iPod... I am totally nerding out. and... totally ok with it,neutral
7487, kill her,negative
7488,Warren and Hannah are dead ... oh my Seriousslyyy godd!! this is a tragidy !,negative
7489, Man it will be a sweep no worries,positive
7490,Awww _tastic that is sweet,positive
7491,"Shower is taken. It is in the room right by the bed. Yeasterday we had the shower on the balcony, with sea wiew, that was a bit nicer",positive
7492,ive burned like a ginger kid the in sun. now my arms are red,negative
7493, soooo over ppl telling me they went to the tonite show!!!  Ive had dreams of meeting him  I`m embarrassd of that a lil LOL,negative
7494,What do you think doing I`m at the moment? Yeah you guessed it  http://www.phoenixfm.com/listen-now.php,neutral
7495,is sadly sitting at home when she could be going to a partyyyyy,negative
7496,"  You want just to go?? I know the feeling...  I`m ready to head back to the mountains, I won`t go back till July",neutral
7497, Link didn`t work,negative
7498,is 99% sober at Brittney`s with and Becky Brit  <3,negative
7499,"absolutely boiling! Got factor 50+ on! Must not turn orange, must not look like oompa lumpa... My left shoulder is burnt from yesterday",negative
7500, HIII!!!!  i`ve you missed  just bored....what about u?,negative
7501," hahaha, yes, our discussions always seem to jump around randomly",neutral
7502,http://twitpic.com/67bpd - This store the at airport is as close as we`ll get to WDW during this trip.,neutral
7503, Nite. Now I`m up n bored as opposed to almost sleep frm b 4,negative
7504,_x ah annoying that`s,negative
7505,reunited and it feels so good,positive
7506,Watched Kunguma poovum konjuma puravum... it Liked very much!  excellent cinematography!!!,positive
7507,"Star Trek was GREAT yet minor details needed to be worked out, but I give it a Thumbs Up, regardless!",positive
7508,I SO should`ve gone right now!!! *wish I could time!! alter  *,negative
7509, No  sadly its not  bit disappointed will try again later see if i change my mind,negative
7510,doente to,neutral
7511,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,negative
7512,My tummy hurts  go cramps! away I hate chuu!!!!,negative
7513," i wish i could offer a hug right now, so bad",negative
7514," Hey welcome to VA, LOL.  It`s muggy up here by DC too.  Worst part of summer say I`d",neutral
7515, Ayy.  Okayyy. It was nice seeing you kanina ! :> I like your hair. :>,positive
7516,"WFD: Lasagna. Still 45 minutes to go, so now. hungry",neutral
7517, ohh kayy fasho if u go tonight have fun for me,positive
7518,were at playing 7 @ club impact tomorrow! finally got shirts! woopity doo! i want a slurpeeee sooo bad right now,negative
7519,"Whoa, I didn`t mean to sleep for more than an hour",neutral
7520,he`s here   over sleep with the MR. night peeps !,neutral
7521,"Not going to Suffolk tomorrow.   However, now MB & I are planning a picnic on the Mall with friends Neil & Jodi.",neutral
7522,Has an left hour of revision,neutral
7523,is sitting at home wishing that i didnt have to work today. ask for it off and still have to work,neutral
7524," Don`t worry, you spelt `NO` correctly! It just wrong looks",neutral
7525,Is at the botanical gardens and its beautiful but she forgot an extra memory card so no pictures today,positive
7526, yeah those are better ads  It makes look them part of your content rather than blatant adverts ;),positive
7527,Borat was so less ****  http://bit.ly/iZkab,neutral
7528,"Just went through my piggy bank, man there was a hell of a lot of money in there! I can easily live out of just for it the next 2 weeks",positive
7529,in Singapore! its so warm over here! Having a blast already,positive
7530," Great service, I but find the time lag from time of posting to appearance on Twitter to be a small downer",neutral
7531, Hope you  feel better soon little Magic Girl,positive
7532,just get back home. the first exam was too long no time finish to it ...,neutral
7533,back at Wingman after a great weekend,positive
7534,Round and Round the Garden: The amazing thing is that he`s still talking to  me! http://tinyurl.com/dx8as4,positive
7535,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight",neutral
7536,"Man, through looking and packing up my books is looking at my past lives. Feeling kind of sentimental",positive
7537," yeah, it`s gonna be rubbish!",negative
7538, you suck majorly  i`m swamped...so why am I on twitter...I don`t know...but still  golf a tournament?,negative
7539,Can`t sleep rite now because of havin` so much tea!!! 2nite I`ve just failed the test of my Lpi course   Next week i`ll make it better!,neutral
7540,Good Morning Everyone. Time !.!. for work,neutral
7541, nice! I wish twitter would tile mine,positive
7542, haha OHH. ok thanks,neutral
7543,i have the song here comes goodbye stuck in my head not a good song to be singing considering my situation,negative
7544, yay all were saved! Weve overcome god again!,positive
7545," Np mate, was great meeting you in Prague",positive
7546,watching run boy fat run...haha its soo funny.,positive
7547," don`t i know it, writing an exam essay this weekend myself",neutral
7548, i need lele to meeee! answer Haha.,positive
7549,implementing will_paginate  on my website; i love rails,positive
7550, and Boat is Bones dining in Peru - double,neutral
7551,"mmmmmm, late night Brusters ice cream! om nom nom nom",positive
7552,Rofl. love I you too Trina.,positive
7553,Tidied & hoovered the whole flat - and all b4 10am today  Now we`re heading out2 German bakery 4 breakfast followed by a walk in the park,neutral
7554, ! HE HAS A FAVOURITE! You`re his favourite ;) OMGAAH.   sorry for creepering? really ..not lol,neutral
7555,Gremlin is asleep after a particularly challenging bedtime. I think it`s safe 4 me to go to bed -what a crazy Sat night for me!,neutral
7556,  congratulations your on shirt btw!,positive
7557," Ironically, that thought goes through my head (no pun intended) for *every* headache I have...  Hope it goes away soon.",neutral
7558, That sucks!    It`s thundering here.  I`m getting ready to shut down.,negative
7559,Saw Xmen Origins on Sat! By far the BEST Xmen movie! AMAZING!!!,positive
7560,"#BGT DCD Seniors were good, not but good enough.",neutral
7561,Hmph I had to order some bootleg Pharos GPS phone they dont have the BB I wanted at Office Depot,neutral
7562,just gott from home work and now relaxing,positive
7563, baby help me with math,positive
7564,Happy Friday. pulled Just some yummy radishes out of the garden. Hope the strawberries turn out. Still no blooms.,neutral
7565,happy momies day!,positive
7566,everybody Morning,neutral
7567, pictures ross.,neutral
7568, nice recolouring of your page  nobody is buying anti-twittering your words!! YOU LOVE IT!!!!,positive
7569, i have no phone  whatchu doing tonight sucka. no dane cook she sold the tickets. lamee.,negative
7570,Almost got sharpied in the face while falling asleep being  sick sucks!!!,negative
7571,is allergic to you...Oh NO!,negative
7572,: I sent you an other me call back message  x,neutral
7573,I am so bored,negative
7574, haha i love surprises! i work don`t til sunday tho so i have to wait.,positive
7575, we won`t be in town  email me if there is another one though.,neutral
7576,Soooo full that im to starting feel sick,negative
7577,"Again, I`m stuck in traffic jams ... Somewhat starting to be the same situation every day. That`s sad, really",negative
7578, I can`t Vote 4 u a the MTV movie awards. There no is vote button. Is it cause i live in sweden? I wanna vote 4 u 2  u rock xo,neutral
7579,Happy May Bank Holiday British Peeps,positive
7580,is going to the Derny race with Sofie & Cindy.... And i`ll see there Eric !,neutral
7581,causee not everyone can pass the challenge test duh,neutral
7582,Thinks she`s sick..... getting,negative
7583,Trip to the zoo today,neutral
7584,  Wish both you a very Happy and Fabulous Mother`s Day!,positive
7585," NOOOO I`ll miss you too much!  I went stag to my prom and all the high school and middle school dances, if that helps. >_>",negative
7586,is loving the half If day! only it wasn`t raining.  Soccer Practice tonightt.,positive
7587," Ah  So you`ve seen both. (Either way, you get to experience the fantasy of sound and shock waves in the vacuum of space. Heh.)",neutral
7588," know...I I would too. Yes i cant wait for BB, i love it! I heard theyre not showing the 24 hr live streaming this year though",positive
7589,flipping out on my hairloss....gotta go to the doc.,negative
7590,had a night great,positive
7591, this kitteh likes going in front... or behind... or to the side...of the box.,neutral
7592, Oh God you bless,positive
7593,Checkin out oramarecords.com. Got a fever and cnt sleep,negative
7594,Finally eating unagi I`ve been saving up for a while! +udon :] AGH I just realized the band playing at Bear Garden today is one like! I,positive
7595, So what do you do when you wake up? Morning by the way,neutral
7596,feel don`t good,negative
7597, noooooooooo my parrents found my stash,negative
7598," Hehe ! Thanks for your advice  I choose the shoes, only three of them, so !!! hard",positive
7599," agreed  it did take me a little while to find my way on stocktwits, but once I did, I cant imagine working w/o it",neutral
7600,pool The is just not fun without Tim in it...,negative
7601, And it`s such glorious weather too - poor you,neutral
7602, I was really disappointed with the whole 'promiscuous girl' thing. congrats on her success but i think talent wasted,neutral
7603,Still at work whaaaaaaaahhhh,neutral
7604,schoool time. not doing much week. this  about 20 more days of school and it`s time for NYC!  can`t wait for the last day of school.,positive
7605, cut yourself a slice of cheese cake.. it makes everything better,positive
7606,Can today any go slower? Time is just dragging by.,negative
7607,Finally got my lil monster off my hands so I could run errands and now I gotta do them in the rain!!!,neutral
7608,"Hey  sorry this is late, I leave in 30 min  raincheck...tomorrow?",negative
7609, Hi Miss.  Isabelle here. :],neutral
7610,Heading home after a week. long Wish someone onther than marketers would follow me,positive
7611," actually, i play keyboards for pohaku lol. we played a 12st bday earlier and now i`m spinning at the shack",neutral
7612,hi  80th fallower,neutral
7613,  psst new blog up.. comments me likey,positive
7614, u feeling urself so much u say cant hi???  me no likey u,negative
7615, wow! I`ve joined the photography scene pretty recently so this (large format) makes it even more interesting,positive
7616, I was going to go to london for a week then had to my change ticket! I would have been there right now,neutral
7617,twitwoo! i can tweet from my phone,neutral
7618,_steph boo  I miss you! It`s been ages. Once I get Internet back I`ll try to fix ALO haha it likes to act from up time to time...,neutral
7619,is sad that shin ae got married...and it wasn`t to alex,negative
7620,i never any get followfridays,neutral
7621," Ha, fun! I think Iï¿½ll rewatch (parts of) season 5 today...in preparation for 2morrow night!",positive
7622,mom is so ok far. just missing jaron,negative
7623,I almost say 'bless you' to a sneezing cat,positive
7624,http://bit.ly/147HEU  - don`t judge me. tucking myself in tonight mogwai  on repeat,neutral
7625,Wine..beer..and champagne..lets see how that goes for me tomorrow..lol,neutral
7626,Yeah I think I touched that something had mikes germs on it because I have a sore throat now  dammit I knew I should have not gone there!,negative
7627, goodmorning,positive
7628,my brother is irritating. and not just bc he takes & wears my without clothes asking. i want to punch him violently for **** he does.,negative
7629, You have arthritis in them?  Really??  Poor you  That would be painful - but you can`t be that old.  How many squats did u do,negative
7630,wants to go to back charleston,neutral
7631, of course,neutral
7632,"_luciano jailbreak went great, just not a tremendous amount of apps ready for 3.0 though. No yet winterboard",positive
7633,I want to be like Horatio Caine,neutral
7634,Right now my at second gig !!! Sippinn on guess whut ? Water  we sta focused we are on the job,positive
7635,Had a good end to a busy day and now I`m off to bed with a full belly of sushi,positive
7636,about go to to acting school  yayay,positive
7637,"got a prerecorded phone call from JJ asking to vote for ADMK led front, phone number is +914044621160, hyderabad connections",neutral
7638,happy mother`s day  & later on i can`t wait to see in _day26 concert. lol. well ima see all of day 26 but i like him the most ;D,positive
7639,watching The Uninvited in my room. Can`t wait to go home. But I have to go to the Deid first.,neutral
7640,turning in.  it`s been a loooong day.  just got my new US edition Esquire so going to fantasize that I one could day look like Megan Fox.,neutral
7641,"I also want it to be the 6th, i miss my girlies so much   WE GET TO BE ROOMIES AGAIN!",negative
7642,new uploading videos on youuuchuuub!,neutral
7643,"i need to read  fic again, but i lost it",neutral
7644," love you tooooo  Duuude,i need to make myself a shirt that says something cool! should what it say?",positive
7645,just broke a vase that i didn`t even get a chance to use,negative
7646," yeah. i`ll because have to go tomorrow morning and get picked up early sunday, so i see no reason to go the whole weekend",neutral
7647,I saw Thirst which is korean movie made by chan-wook Park . this movie isn`t hard but good,neutral
7648," i just went to find that unity girl on bebo, i find cant her! i fail at bebo stalking",negative
7649," get better omg i still dont believe that i didn`tgot a picture with you  it`s soo sad, i don`t now when i`m gonna see u again",negative
7650,OMG....that  is soooo sad.,negative
7651, My dream was about hanging out with all my friends. It was good until I woke up and they weren`t there.,neutral
7652, good luck have C funn!,positive
7653, they got attacked by the club,negative
7654," haha...Live long & prosper. The movie was better than I thought, they did an job, awesome I`m pleased",positive
7655,is looking forward to tonight`s dinner date with Mom; is gymming this afternoon; started 'bawas kanin' (less rice) movement; is celibate.,neutral
7656,Feels like im going cough to up a lung,negative
7657, I like only the james bond series. Thats what a spy movie is!,positive
7658,nice ,positive
7659,just got back from rachael`s house,neutral
7660,the week just wasnt the same without an lambert adam performance!!!,neutral
7661,off to sleep  on 2 katy perry songs as soundtrack  x,neutral
7662, alright - was only joking - I just no said wine here  - fool me maybe? - I don;t like drinking,negative
7663,has to do two 50 page assignments this weekend  there goes any chance of relaxation!!,negative
7664,New of issue  in the office...desperately want to flick through but have so much to do. It`ll have to wait,negative
7665,is very shocked and feeling sick... but happy all the same,neutral
7666, cup cakes are sooo yummy - but would have 2 have coffee chaser- u where know that can lead,positive
7667,can`t wait to see those pics ,neutral
7668,morning Good all! Its a fabulous morning here!,positive
7669, i can so sympathise with that,negative
7670, Thanks very much for the #ff  ! only My one today,positive
7671," you know, i would love to see 5 lies editors believe about writers. #justsayin",positive
7672,haha. i love you aimeeeeeee! too,positive
7673," why arent u famous already? lol you have a very adoring fan, that fan would do anything for you hehehe, im you no.1 fan",positive
7674,Parents decided drop to in on their tour-de-US. The whole family is at my house. I am at work,negative
7675," still no class loaders, or even custom assembly loaders",negative
7676,i`m at starving work,negative
7677,"Omg, little kids with cancer is the saddest thing ever",negative
7678, Weather reports of a week of upper 60s make me happy  running Perfect weather!,positive
7679,Guess I`m on Twitter now!,neutral
7680,praying the rosary my with family!,neutral
7681,Vacation over!!!  Looking forward to the next one........,positive
7682,I have assignment due by midnight in professional writing class & I really wish I was already done with it Luv writing thought Id it like,positive
7683,"Soon we are going to look at a cabaret, it`s going to be fun!",positive
7684,wishing is everyone a blessed & beautiful Mother`s Day!,positive
7685, I broke up with Christian Bale when he played Batman,negative
7686,Steam Punlk show fashion at Anime North and for the first year since TorCon we aren`t back til  & missed it,negative
7687, o snapppp look who i found on twitter lollll,neutral
7688,_Mak request me on bbm & send all ur contact info. Everything sync didn`t up from old phn  I have ur tmail info haha - DATED!,neutral
7689,lets play some russian roulette.,neutral
7690, thanks!! I`m  a fabric addict lately - I`ve bought soooo much!,positive
7691, DANG i want to be on the beach late at night. that`s the best. the sound of waves and the breeze!!hope you are well!,positive
7692,Matt Weiters` first at fly bat: out to RF,neutral
7693,Not in a good mood.  My mama`s away with my sis so can`t talk to either of them and my boy can`t see me this weekend as planned.,negative
7694,  thanks we did reviews today and i feel like idk anything. anyways. how r u?,positive
7695," Ha Thats good. Thats why I love my boys, cos they never stir up the hatred that the mighty red scum do  Everyone loves City",positive
7696,shecky95   Happy Moms Day to u as and well many more to come,positive
7697,"OMG, Tony Hawk`s motion on the nintendo DS sucks ****!",negative
7698,"http://twitpic.com/4j95z - I know don`t why, but I LOLd.",neutral
7699, Meant to ask how did the other night go? Did you enjoy the fight...did yas have an all-nighter?,positive
7700,Hey i`m on FaceBook come check me out http://bit.ly/17jIy8   tell me ur username if ADD you ME,neutral
7701,#pens...steigy...no politics hun...the obamas are not watching hockey,neutral
7702,Haven`t a clue this about twitter!,neutral
7703,i feel really weird,negative
7704,stop Can`t coughing,negative
7705, well then happy mothers day  ahahahahahaha,positive
7706,sorry dunners just saw your tweet! totally let down you im so sorry babe  was at work till 8.30 very boooooo,negative
7707,Doesnt feel good!  but I cant miss work tomorrow!,negative
7708," It felt nice, but staying outside for too long and your getting definitely burned! Hurricane season is here though",negative
7709, oooh OK. thought I was losing my MizMind,neutral
7710,Happy Star Day. Wars MAY THE 4TH BE WITH YOU,positive
7711,This headache is killing me yet I need to cover some boring police event.,negative
7712, I sent u a direct message.. there`s mail my,neutral
7713, are you and melissa celebrities now?,neutral
7714," I`m sweet, trying to earn my crown for gluten free baking!",positive
7715,"desktop quad-core Win7 boot time = 2`25', laptop dual-core w/ SSD Win7 boot time = 0` 13' => SSD for desktop arrives in 2 days",neutral
7716," Sure, I`ll be in chat a in sec   Here`s the thread http://tinyurl.com/ojcf5l",neutral
7717," A towel, a 'Sub-Etha Sens-O-Matic' and the Guide ??",neutral
7718,Ugh. Too much happened today. I really a need hug,negative
7719," nothing much man, waiting for my Insurance card to come through... Cant get any workdone here w/o it... Redtape",neutral
7720,sux gabe just told me to go to the afterparty and I ID have that works but I can`t go,neutral
7721,http://twitpic.com/670rw - i miss my puppy,negative
7722,Sorry  Ali,negative
7723,needs to see a band live.. **** Blink for not coming to the UK this year!  ..anyone wanna go see Billy Bragg or Colin Blunstone with me?,neutral
7724,Wrapped up some html/java work spending now the night dabbling in some flash intros,neutral
7725, try direct message to me here on twitter,neutral
7726,Went get to my car inspection sticker got gigantic red R one. Just keep piling it on. I can take it. Don`t worry about me. I`ll be ok.,positive
7727,last sunday before going home!,neutral
7728, y does it hurt so much? i can`t even chew gum.  i`ve lost much so weight because i can`t even eat,negative
7729," Yes, that would be pretty creepy. I think its all a bit more innocent than that, I think he just wants to sell some icecream",neutral
7730," true, Not you can get worse burns today... don`t forget sunscreen",negative
7731, HAPPY MOTHER`S DAY TO UR MOM JAH. TC.,positive
7732," OH WAIT, I read that OK wrong. hellboy",neutral
7733," hi there, nice to meet you",positive
7734,It`s  still up the duff boo,neutral
7735,Postponed is not abandoned. //,neutral
7736,looking models for for beauty shoot THIS THURSDAY in the Valley studio  contact me if interested!,neutral
7737,ok.  i got my nails done to day an the are sweet.,positive
7738,Moral  support for students,positive
7739,"Just had my teeth checked, now my eyes. I`m dying for a coffee but can`t drink for an hour.",negative
7740,not Allies coming over,neutral
7741, i could have got you some from work and not paid more than R20 per 2l,neutral
7742," we always miss each other, we? don`t",negative
7743,great song  http://bit.ly/evluw,positive
7744,"funny Just sitting here with external keyboard, mouse, and macbook on bed  just looks strange but it`s comfortable",positive
7745, im home alone in the house and imma scared  x,negative
7746," hey are kellie,how u?I FEEL HORRIBLE!",negative
7747,Congratulation`s to phil packer on completing the london marathon  x a shining example to us all x,positive
7748,Happy  Mother`s Day to you,positive
7749,Going for a ride! Perfect night to go out and chill,positive
7750," Yeah, it`s  good. Just startled me.",positive
7751,hey twitter  hows it going? let us know how your day is going,neutral
7752,in ten minutes shopping   demi lovato-back around demi lovato-behind enemy lines have you all seen the titanic 2 its trailer? really good!,positive
7753," sooo, u just gon cheat on me and tell everybody on twitter? I don`t know if I can trust you anymore.     j/k",negative
7754,Missing brandon. Wanting talk to to anthony. Sadshoes,negative
7755,what a great day,positive
7756,"  Oh matey, no did you get ill?  It would be a bit mean of Suzi to be calling you chicken scabs if you`re not!",negative
7757,Exhausted after a 58 hour work week,negative
7758,amazing Omg twist! This is a crazy awesome movie,positive
7759,Is looking forward to a yummy dinner with mizz Kate jones this evening!,positive
7760,says gots my mom a digital picture frame bout to scan pics of her wedding n all that stuff mushy  http://plurk.com/p/su3eq,neutral
7761,  Beer is an excellent excuse. Earlier i was sweating god knows how much! Not looking forward to working tomorrow,negative
7762,has a good heart... or so says the doctor. Except that the doctor won`t be in until Tuesday afternoon to put that writing.... in,neutral
7763,"_Ernman Hej Malena, lycka till Eurovision! The United Kingdom will be voting for you!",neutral
7764,"I looked up differents some stuff for mine, today.",neutral
7765, aha yeah  all else fails just push  yeah we are dont know what time were leaving yet though ****,negative
7766," comfort Mmm, junk food. That sounds good. I always preferred Wingstop",positive
7767,"  Tat, You looks beautiful and are a heck of a mama and business woman.   Dana",neutral
7768,"I don`t believe my it, puppy likes brussels sprouts!",positive
7769,Jennnnnn richhhh wast to the ed,neutral
7770, i already got my tickets to concert your here in the philippines! im so excited!,positive
7771," Awwww...thanks!! ;) Unfortunately, everything closes at 4pm in Sweden on a friday. Presentation is 9am Monday.",neutral
7772, Think of the prize at the end. So to sorry hear that though.,negative
7773,"What a day, 12 hours work  But I`d really like my job, it`s fabulous :b",positive
7774,Aaggh!! My blackberry curve took a gash in screen the the day AFTER we get invisible shields in stock. Well it`ll be a good advertisement,neutral
7775,4 fillings to the good(?); two more appointments to go,positive
7776,"Yo! Its moms today, day so do it big for mom dukes  and behave!",positive
7777," to be fair, she was asking about mktg cd`s, etc, but I suggested more and she never even emailed back.",negative
7778," Poor  kitties If there`s nothing that can be done, hopefully you`ll at least be able to find her a good home",positive
7779,its raining in MD,neutral
7780, this is very true about ! but you do have to admit it was pret-ty funny! im to bout go you tube it!  lol,positive
7781, oh yes some are quite nice! and my `photoshop` liep zojuist vast. so now I have to start over painting Rï¿½isï¿½ngs glove,positive
7782,_lottie Not one of my favourite pastimes  This weekend is a long weekend here so Monday I`m off to an Ice w/ Show the G/daughter ;),positive
7783,misses my baby.,negative
7784," Ten hours I ago, was was sleeping, sorry.",negative
7785,I was sleeping soo good but just woke up like 10 mins ago n got sick  not feeling so great. I wanna go back to sleep but I`m wide awake.,negative
7786,"I`ve knack my iphone, I got melted into chocolate the speaker, I now can`t hear it when it rings",neutral
7787,last day working for Tend,neutral
7788,  still waiting to have a with beer Moldovan. At least he`s happy I came.,positive
7789,"  I could never do that to one of my children, look what happened to Nina Zavaroni (sp) Brooke Shields and Drew Barrymore",neutral
7790,"Yep,  ah, ****, I don`t wanna leave my warm doona to get a hot beverage...I guess I`ll just have to make do w/o it",negative
7791,Not a good start to the day left my money at home . So i`ll hot a day me looking for free carparks,negative
7792,Spongebob sing long. a Amandas mom gave me and crystal jonas brothers calendars,neutral
7793, you will be great! Have a wonderful first day,positive
7794,Friday has a whole different meaning when you have work to Saturday and Sunday,neutral
7795, friends of mine just meet you today..... I can`t wait until it is my turn,positive
7796,Math is and amazing hell at the same time  socialily that is the naiv part is fine.,neutral
7797,i can`t seem to access Restuarant City due to some internet / javascript problem...,negative
7798,"So, I finally got but my on Twitter. Let`s hope I make good use of this site",positive
7799, hahaha I didn`t even notice the name - LICE,positive
7800,just woke up day off and need to go to in work that sucks. Also have to go dentist for filling at 12 then st helens for mri scan at 2,negative
7801,My twitterberry wont work on my friends and me,neutral
7802,getting Slowly ready for work,neutral
7803," episode 17 season 1, i love chuck bass.  who`s going to the short stack filming next sat? Im making a flag. ;D",positive
7804, Awww my lovies! Yes I love it all.  And I`m totally finishing my buffalo sammich after few a hits off the new bongie. <3,positive
7805," Hey girl, yeah I did..thanks a bunch!! I haven`t started downloading them yet...I totally owe you.",positive
7806,Happy Mothers Day Mommy!!! I love you your && the best...,positive
7807,"Do fish feel pain? Yes, says a new study.  http://is.gd/Jbcg",neutral
7808,nothing to do on friday a night,neutral
7809,Just finished my 1st new song !!!  Soon on Youtube !  Keeping you updated !,neutral
7810,I`m  doing an experiement,neutral
7811,I plead temporary insanity for agreeing to a metric century cycling event tomorrow.,negative
7812,Ryann!! Watching  Gonna be a grand day!!!,positive
7813," off to bed with fingers and toes and everything crossed u pick me-lol! Hope ur well and got back safe,poor Jon  ****",neutral
7814,my missin bro..,negative
7815, w00t! Glad to hear it! Though I am missing watching it outside the Igloo by a day,positive
7816,that  makes me sad...,negative
7817, thanks kelly! that means a lot.  have you figured out your apt thing yet?,positive
7818,My mouth hurts from this retainer!! stupid,negative
7819, I`m sorry about your bad driving experiences.,negative
7820," did some research, but couldn`t find the specific thing which i wanna do with this autorun drive`s",negative
7821,Edward Cullen. <3  Hahaha.,neutral
7822, yeah! i love this one and doesn`t matter really,neutral
7823,  i for one welcome our new cyber-criminal-overlords.,positive
7824," invite sent   You can invite now more collabs too, pass the word around",neutral
7825, eh...I might drive through Chi-town on my way to Colorado....maybe I`ll get one then.,neutral
7826,no new until tubas  4th  of july weekend,neutral
7827,I realized last night that I have no idea where my PnS went to during the move... I hope it`s not lost and gone forever,neutral
7828, I lluuvv u too.. ahhh  im gonna miss u evenn moreee! lol,neutral
7829, i been coolin and **** ya know me,neutral
7830,Still gutted that man lost utd,negative
7831,alicias tonight? idkkkk. ughhh,negative
7832,"Happy Mother`s Day to all the beautiful Moms out there.  (I`m kind of a Mom, think i my little pup counts!  )",positive
7833, Thank you! I hope you have a great rest of your day! Have you had your afternoon coffee yet?,positive
7834,Yay Happy Mother`s  Day #fb,positive
