,text,sentiment
7123, well wassup than dont be scurred now! lol you`d probably like it if it came to biting!,neutral
7124,had a funaday at the theatre... glad to be back in town for a while,positive
7125,interesting day. good overall,positive
7126,iant to cry,negative
7127,"Happy Star Wars Day, may the 4th be with you  my lil` 12yr old bro is at home playing with a lego AT-AT and dozens of stormtroopers.",positive
7128,i waana watch tormented. it`s showing on May 22,neutral
7129, Good Morning  Hows u ?,positive
7130, ooh how islan? i could do with a holiday! Bfoyf is off to Geneva today visiting fam so ive got a weekend on my own,neutral
7131, I wish our  didn`t close,negative
7132,"  Tha for the link, ive voted & i`ll send that out too.",positive
7133,Wishes  a Happy Mother`s Day!,positive
7134,Good night everyone...... Time to go mimmiz......,positive
7135,_Electic but then you leave,neutral
7136,Flight to hurghada delayed 7 hours,negative
7137, actually I think Doogieeee Howser got the idea from the Captain`s Log.,neutral
7138,no more brother for 2 weeks.....,positive
7139,there was a mix up with my ddddentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,neutral
7140,is also very excited for the BLAZIN SQUAD revival!  im rooting for `em-- their new song http://tinyurl.com/dz7tms,positive
7141,off to do some gardening and get lots of fresh air - i love Sundayyys,positive
7142,listening to ECHO by Gorilla Zoe ahh love that song,positive
7143,Its so hhhhot here,negative
7144,Just saw a dark burgundy Scion xB. That dark shade makes it look like a minivan because the shawdows of the lines and curves are lost.,negative
7145, wow! uou`ve been tweeting all night!! looks like you totally made up for the day,positive
7146, somehow i cant reply to your message LOL and yes i know  Thank youuu,neutral
7147, Where are u  miss you I hope youu are doing well *sending big hugs*,positive
7148, I do that all the time,neutral
7149,ughh...i dont feel goooood,negative
7150, Awesome! that`s how I wanna roll when I become mogul status,positive
7151, yeaI didn`t realize how bad it all was till now,negative
7152, Aww  Yeah I feel you. I know its hard.,negative
7153,I want toatch the movie 'Up' but no one wants to watch it with me,negative
7154, not sure... there are fanciful expensive ones - but some basic ones are not expensive... Try the 24hr `M` shopping place,neutral
7155, i rellly am going to miss you,negative
7156,going away party at ambers  road trip tomorrow!,neutral
7157,so tired.   only need to be here another 30 minutes.,negative
7158,Just finished The Minish Cap. It`s a great game! I`ll miss Ezlo and Link.,positive
7159,Backn the office for a hectic week - but the weekend was awesome,neutral
7160, unfortunatley it is the tooth kind of crown,negative
7161,"Morning, just checking you can still find your Twhirl",neutral
7162,new project @ work,neutral
7163,"goin to bed, but must yay i love that #justin timberlake and #mark martin are the #3 and #4 trending topics on twitter tonite!  rock.",neutral
7164, yep  which sucks because i thought somewhere it said it was..,negative
7165,My friendsss are mocking my weekend!   have they been talking to you?,neutral
7166,Saturday is Partytiiime,positive
7167,Starting class. Toddday we start MediSoft.,neutral
7168,**** i have something to say and no one is listening,negative
7169,recorering from mexican fiesta. Had a bit too much of a good time!,positive
7170,Good morning my little twitternut squashes   How are you all today? whats the weather like where you are?,positive
7171,Um... happy star wars day btw. Cheers to all you scruffy looking nerfherders and hot ami`s out there.,positive
7172,": I live in gmrmany, it costs a lot too!  I wish you could follow me anyway..",neutral
7173, You`ll be waiting a loooong time,neutral
7174, notg is going on here is guess,neutral
7175, Yay for full-term!!,positive
7176,"Just woke up & cango back to sleep. Had a txt from the bff sayin if you`re up call me, sounds important but that was 4 hours ago",positive
7177,http://twitpic.com/4wsy6 - Beauty.  Going out now!,neutral
7178, aweseme! cheers man! don`t know if i`ll have much money left after todays shopping spree though!,positive
7179,This already feels like one of those days where I just won`t be able to win.,negative
7180, When re you and  coming over so we can violently agree?,neutral
7181,Two week extension on contract ... I`m ready for it to be done,neutral
7182," Everyoneplease welcome my new friend, Kari, with a warm follow, as she just set up her twitter account tonight",positive
7183," I already seen am and jazzy I know they blew the roof off! Was supposed 2 go to pony party, I couldn`t make it out last night",neutral
7184,she made my sister cry too hahah. bless her.  i hope she can do it again.,positive
7185, pshh. Thanks.,positive
7186,und six great vegan places to eat and relax at; four of which I can`t get to without a car,neutral
7187,Is waiting for sumone to come online,neutral
7188, you do realize tom fletcher from mcfly JUST postedddd basically the same thing!! TWINS!,neutral
7189, dammm..i thought i was on to something  lollllll,negative
7190," No, it`a annoying and makes us girls that follow sports and are knowledgable look dumb",negative
7191,Recovering from a lovely but slightly stressful weekend in France,neutral
7192, YES!!! one fi party  better make it a good one !! how much mpre stuff you got to go?,positive
7193, I would like to be able to go just to ONE of those,neutral
7194,Woohoo..this the day/week the Lord has made! Just remembered we get to wear jeans & chanclas all week!,neutral
7195, Hello How are you,neutral
7196,"s laptop is going to die, its not working!",negative
7197,I lied have yet to see good looking men,neutral
7198, Good Moorning my Swedish Friend. I love the Meat Balls.  haha,positive
7199," I want to get all dressed up and go out to, but I to have no one to go with, I`m with you mentor",negative
7200,"Happy mothers day to those of u that are mothers, and happy mothers day to all of your mothhers      I miss my mom....",positive
7201,i dont noe what to eat for breakfast hmmmmmmm im so hungry,neutral
7202,: aiaahh.. poor u  tell ur mom alreadddy?,negative
7203,_B_Judah i am too old for Vegas,neutral
7204,Roscoe - Smooth Sailin` WHY DID NO ONE TELL ME ABOUT THIS SONG?????? RAP FRIENDS U HAVE FAILED ME,negative
7205,i have the ada lambert version of FEELIN GOOD in my head... i miss idol already.,neutral
7206,I`m at home recovering from major liver surgery.  In alot of pain.,negative
7207, don`t care about my strrruggles..,negative
7208, yeah I m so happy for them that they should moved on and out there partying I m so happy,positive
7209,"Such work, so little time",negative
7210,Happy Mother`s Day Moms  Take a load of for at least a day!,positive
7211,Home. Don`t think i`ll wake up at 5. :-p I had set an alarm for 6 in the kiiids` room & forgot to turn it off. I feel bad about that.,negative
7212,Silly boyfriend forgets his phone charger on his 4 day long trip to Kilkenny and now I can`t talk to him and see how his gig went! Poo!,negative
7213,So mirst aid shift started out with some excitement but now it`s kinda died down...  I wish I could do this more often!,neutral
7214,Driving home after an ok night  Iwish,neutral
7215,I hate titting at the doctors office! They told me she is running an hour behind! AWESOME,neutral
7216,_ i wanna go to the pub,neutral
7217," Thanks mate, jst came on board here at Twitter ...  .. tweet up sounds great..",positive
7218,"Oh, and now Mondays also mean new American Dad!  So glad I watched that show, so funny, and it makes Mondays even better",positive
7219,awwnly 15minutes left of family guy,neutral
7220,getting bored of walking up and down the stairs,negative
7221,"tating Toast  ~Peanut Butter,,Yum",positive
7222,"barely awake, eating breakfast.. marathon morning!   Good luck to all the racers, and happy Mother`s Day!",positive
7223,HELLOOOO !!!,neutral
7224,Thinking I`m super excited about this week!,positive
7225,"Orange/Pineapple/Banana smoothie affffter a very long, very hard day = HEAVEN!",positive
7226,i`m pretty bored/tried. my mom is going to be home in an hour.  is fixing to leave. aww...  she`s going to texas for a month..,negative
7227,Gonna gordrop some logs in the pool  back in 15 min,neutral
7228,FacePanda is cool,positive
7229," I`m rnnning out of things to say, and I`m starting to think you`ll hate me for flooding your inbox with 'Philippines tour?'",negative
7230,"is on allegra, flonase and a steroid inhaler for the rest of the allergy season. throat still hurts from the asthma",negative
7231,about to start my least favourite chore.... mopping the floor,negative
7232,why does twitter hate me i cant put no photos on my page,negative
7233,and were going to pune tomorrrow,neutral
7234,"awesome milkshakes, i had areo mint,. we just blended it up, it was like a lumpy smoothie  so then we did some more chattering and ...",positive
7235,So myny freebies for all my JBnoy friends  SPAM THREAD SOON.,negative
7236,NiGHT NiGHT MY TWiTTER LOVES ON THE PHONE THEN SLEEP,positive
7237,  5 daays,neutral
7238," I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",neutral
7239,Why the **** can`t I bover this ??? I feel like crying bit I realy don`t want to  why is this bothering me sooooooo much !?,negative
7240, sounds like my town,neutral
7241,_Cullen i hate the rain *laughs*. thanks *smiles* i miss her loads i couldnt stop crying before,neutral
7242, $300 later... I feel so good! But guilty,neutral
7243, Ha Ht thanks Tom! I`m such a loser! Hopefully going on the 22nd June till 3rd July...what date u goin? u missing helen?  x,neutral
7244,vmware fusion seems getting slower and slower,neutral
7245,Happy 11th  I`m goingggg to sleep now lolz,positive
7246,listening to some music!,neutral
7247, thanks for the message - just worked out how to seeeee them and reply!,positive
7248, Happy birthday. Let us know what you get up to old boy,positive
7249," I applaudoyou for accepting **** marriage, I have rels that are born again that hate me for it.",neutral
7250, yeah !!,neutral
7251,"The sun juuuust came out!!! Pray for me guys!!!  Writing skills test   No pass, no class, no graduate -.-",neutral
7252, lucky! been beggin for jury duty for years...they dont ever send me notices! just notices for other people to my address!,negative
7253, heyYAY! thanks!  wow ur page is awesome!!!!!,positive
7254,Im.in.the.room Im.watching.the.HANNAHmovie.withMOM.She.said.this.film.very.great.,positive
7255,Omg! My dad called me a johny come laately haha because I`m slow  haha,neutral
7256, life is funny and ironic at the same time isn`****?,neutral
7257,Cat`t believe ER is over,neutral
7258," Patience, it`s worth it",positive
7259,producing the 6 with  then anchoring... annnnd a sad goodbye to Miss Lynne Ashminov  we will miss you!,negative
7260, just got Zion tweet,neutral
7261, Sounds goot to me!  Taylor + Kellie on tour together is just pure genious!,positive
7262," I know... it just falls right at 1pm my time, like right in the middle of the day",neutral
7263,Thanks s much for following me here too  I will keep you all up to date as much as possible on my makeup line plus all new collections,positive
7264, haha so the whole worlds there then lol,neutral
7265,Up ad packing. Its the last day of youth camp,neutral
7266,Ready to chill on the couch and watch a movie,neutral
7267,"Good morning orld   This will be another wonderfull day, starting with breakfst with champions...  my kids ofcourse",positive
7268,tummy hurts,negative
7269,When you see someonnnne without a smile pass them yours,neutral
7270," big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot",negative
7271,CChemistry is not fun..,negative
7272,"So much for just an oil change... Do not pass Go, do not collect $200, lose $160",neutral
7273,"5 Mins, till the end of follow me Friiday",neutral
7274,OMG! i`m almost done with the last block on this quilt! Just a few hours of work left  i can`t wait to meet my goal,positive
7275, at is so sad. wish I can do something big for the kids. may God Bless the kids always.,neutral
7276,dared to go back and look at that vid I made - I may take it down,neutral
7277,how r eeling? and when r u guys coming back to canad?... come to vancouver!,neutral
7278,"I have class tomorrow and tomorrow is Saturday, I hate having class Saturday",negative
7279,i hate having tthe same hair for too long. i think i want super looong hair now,negative
7280,"Zen-related stuff: 'Go with the flow.' Very easy to accomplish - it started to rain, so the rain will flush me away",positive
7281,"hates he everything about  seafood.. just so happened to serve lobster in the chow hall... noooowww, I gotta headache.. ugh! smh...",negative
7282, Yes I did see Mitch Hedberg and the whole floss thing.  He`s hilarious.  I <3 him.  Poor guy,neutral
7283," nigel rey enjoyed it, but he`s got a big scratch on his side that inexplicably appeared afterwards...",positive
7284,I can`t I`m on my iPhone,neutral
7285, my kid is sick too oho..i can`t do it by myself.  i can`t go there by myself like a crazy stalker,negative
7286,   I need a wardrobe intervention,neutral
7287,"Just gotohome, doing art all day.. i want to be in a film",neutral
7288,My car is home. Yay! $613.22 Boo!  I`m paying my mom in installments. I gave her $200 today. I so need to win the lottery. :\,neutral
7289,is enjoying the nigggght with her folks.,positive
7290,Nooooo! Its going to rain on my birthday,negative
7291, Youu should try it. It`s the way of The Deena,neutral
7292,feeling really dizzy  not soo good,negative
7293,"Happy Frid y Dance, no rain and I`m about outta here..till 2morrow  I sat the saturday morning shift, but its still all good",positive
7294,Good morning!!! Who wants breakfast??,positive
7295,Loved the un today. Did not love a black suit and black top plus 6 trains/tubes to get to my meeting and back  Need to shop for summer,positive
7296,Make sure u pick up Chrisette Michele`s new album EPIPHANY in stores tomorrow May 5th! You will love it! Promise!  Congrats ,positive
7297,i am doing homework it sux biiig time maths is the worst!!!!!!,negative
7298, mark harmon just got shot on my tv,neutral
7299," cool, s if you could help make that happen, & make sure it happens at least once in houston, that`d be great. k? thanks.",positive
7300,I want some Starbucks..,neutral
7301, o my pretty lady  HAPPY MOTHER`S DAY!!! She`s the mother of my future son-in-laws,positive
7302," praying you get better soon you sweet one , sorry your still not well",positive
7303, I LOVE pb & banana sandwiches!! Still a ffffav of mine,positive
7304,Saw Fiddler with Topol! The girls LOOOOVED it!  Next month... Annie! 7th row! *can`t wait* Trip 2 the music store for Fiddler sheet music.,positive
7305,_ Oh please markk all toe tweets with #toe.  is trying to make trening topic out of #toe,neutral
7306,Standing ovation for Wieters. Nobody was sitting down. Insane. Hit into double play though,positive
7307, HaHa ii Forgot...It`ll Probably Be On Youtube...So I`ll Watch It Later,neutral
7308,"  aaah k..am like a fan incarnated,so kinda like a mutant. till date, Ghalib has never *yet* left my questions unanswered",neutral
7309,Averaded $31 per hour at work today! Gotta love holidays,positive
7310, Oh that`s why.,neutral
7311,ocongratss to them,positive
7312,"Its not looking too good outside  if this continues, i feel a movie night coming on...",negative
7313, I know... It was just a joke... all in good fun...  someeee people get my humor & some don`t...,positive
7314,"i`m thinking that tonight`s plans are not gonna happen. sigh...sadface. i shouldn`t be surprised, but i am.",negative
7315,loving life lalely!!!!  Looking forward to going to see Samantha! Hanging out with Natalie right now!,positive
7316,Wants to go catch happy hour  to get me a strawberry lemonade slush ( put me on them)...but i dont have my car...super,neutral
7317,Chilliiing out....now the boys have gone  Time To Relax,positive
7318," Haha, i came home from a long night out, and all i saw on Tweetie was Khayyam Wakil. I usually don`t announce and **** - LOL",neutral
7319,Created a new album om my Facebook for my Phantom cross stitch  I want to track my own progress so I feel like I am getting something done,neutral
7320,the start of my day was finding a lump on my body... went to the hospital... apparently its nothing! fewfffff! bloodtests suck...  haha,neutral
7321,",p,dressed, and out the house for 11 am on a Sunday. Off to see the fishy fishys",neutral
7322,"I painted my nails metallic blue but Iï¿½m really sure about how it looks, itï¿½s a pretty weird color!! I think itï¿½s cool",neutral
7323," Oh ok,Thanks.Dont know where the courthouse id either,I`ll learnnn though.Any nkotb? Twitter stole my pic again  it hates me",negative
7324,"all alone.  still watching TWW, eating Italian chocolate and solving logic puzzles.",neutral
7325, I wish I couldn`t wrap my head around it  Hopefully it`ll wake up some people that say/think 'racism doesnnnn`t exist anymore',positive
7326, awwwh - i`m sorry  i hope you fell better - watch a film ?,neutral
7327, mummer yo.  I`m starting up finals too soon...so I guess I`ll see you around the second week of June then.,negative
7328,"Finally home! Tp tetep, kurang 3BT buat shooting kamis nih! Huaaaa, stress gila! Syapa lg ya?",neutral
7329,Two fantastic shows iiiin a row,positive
7330,"Mooorning! It`s Friday, and that`s terrific! Smile up!    :-|      :-D",positive
7331,At wkrk... supposed to be a day off but too much work to get done for PLM World... sigh,negative
7332, I miss my cats.... But not on Sunday mornings! Mine did that to,negative
7333,Havingeserious technical issues in the studio  oh well thank god for the technician,neutral
7334,shouldn`t have stayed up til almost 2 reading 'rules' but i did. such a good book. totally worth the sleep deprivation.,positive
7335,"gets sumthipecial, but i want more. akankah suatu hari ku kan mendapatkannya...? only GOD knows...",neutral
7336," Oh, that would be riveting TV!   Trips to the break room, coffee, toothpicks in the eyes to keep them open.",positive
7337,"Finally, I gom my teaching load confusion cleared. I will teach 3 third year sections but with a catch.",positive
7338, I love finding regional groups of Twitterers! Glad I could connect you with a few new people,positive
7339,Just finisheeeed curling her hair!!!! And now has to finish getting ready but doesn`t have a ribbon to put in her hair,neutral
7340, I`m having no luck either  Doing my nut in! Who are you hoping to see?,negative
7341,Woke up from asparating some stomach acid. I`m praying that I dont acid reflux  and that it was a one time thing,negative
7342, // your FACE is stupid.   thanks... i miss you too. HA!,neutral
7343,trying s out with my sweet lil iPod... I am totally nerding out. and... totally ok with it,neutral
7344, kill her,negative
7345,Warren and Hannah are dead ... oh my godd!! Serriousslyyy this is a tragidy !,negative
7346, Man it will be a sweep no worries,positive
7347,_tasticc Awww that is sweet,positive
7348,"Shower is taken. It is in the room right by the bed. Yeasterday we had the shower on the balcony, with sea wiew, that was a bit nicer",positive
7349,ive burned like a ginger kid in the sun. nnow my arms are red,negative
7350, soooo over ppl telling me they went to the tonite show!!!  Ive had dreams of meeting him  I`m embarrassd of that a lil LOL,negative
7351,Wh do you think I`m doing at the moment? Yeah you guessed it  http://www.phoenixfm.com/listen-now.php,neutral
7352,is sadly sitting at home when she could be going to a partyyyyy,negative
7353,"  Youst want to go?? I know the feeling...  I`m ready to head back to the mountains, I won`t go back till July",neutral
7354, Link didn`t work,negative
7355,is 99% sober at Brittney`s wiiiith Becky and Brit  <3,negative
7356,"absolutely boiling! Got factor 50+ on! Must not turn orange, must not look like oompa lumpa... My left shoulder is burnt from yesterday",negative
7357, HII!!!!  i`ve missed you  just bored....what about u?,negative
7358," hahaha, yes, our discussions always seem to jump around randomly",neutral
7359,http:/wtwitpic.com/67bpd - This store at the airport is as close as we`ll get to WDW during this trip.,neutral
7360, Nite. Now I`m up n bored as opposed to almost sleep frm b 4,negative
7361, ah that`s annoying,negative
7362,reunited and it feels so good,positive
7363,Wahched Kunguma poovum konjuma puravum... Liked it very much!  excellent cinematography!!!,positive
7364,"Star Trek was GREAT yet minor details needed to be worked out, but I give it a Thumbs Up, regardless!",positive
7365,I SO shoulv`ve gone right now!!! *wish I could alter time!!  *,negative
7366, No  sadly its not  bit disappointed will try again later see if i change my mind,negative
7367,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,negative
7368,My tuuummy hurts  go away cramps! I hate chuu!!!!,negative
7369," i wish i could offer a hug right now, so bad",negative
7370," Hey welcom to VA, LOL.  It`s muggy up here by DC too.  Worst part of summer I`d say",neutral
7371, Ayy.  Okayyy. It was nice seeing you kanina ! :> I like your hair. :>,positive
7372,"WFD: Lagagna. Still 45 minutes to go, so hungry now.",neutral
7373, ohh kayy fasho if u go tonight have fun for me,positive
7374,were playing at 7 @ club impact tomorrow! finally got sshirts! woopity doo! i want a slurpeeee sooo bad right now,negative
7375,"Whoa, I didn`t mean to sleep for more than an hour",neutral
7376,he`s herre   sleep over with the MR. night peeps !,neutral
7377,"Not going to Suffolk tomorrow.   However, now MB & I are planning a picnic on the Mall with friends Neil & Jodi.",neutral
7378,H s an hour left of revision,neutral
7379,is sitting at home wishing that i didnt have to work today. ask for it off and still have to work,neutral
7380," Don`orry, you spelt `NO` correctly! It just looks wrong",neutral
7381,Is at the botanical gardens and its beautiful but she forgot an extra memory card so no pictures today,positive
7382, yeah those are better ads  It makes them look part of youur content rather than blatant adverts ;),positive
7383,Borat was so less ****  http://bit.ly/iZkab,neutral
7384,"Just went thhrough my piggy bank, man there was a hell of a lot of money in there! I can easily live out of just it for the next 2 weeks",positive
7385,in Singapore! its so warm over here! Having a blast already,positive
7386, Great servicebut I find the time lag from time of posting to appearance on Twitter to be a small downer,neutral
7387, Hope you  feel better soon little Magic Girl,positive
7388,just  back home. the first exam was too long no time to finish it ...,neutral
7389,back at Wingman after a great weekend,positive
7390,Round and Round the Garden: The amazing thing is that he`s still talkinng to me!  http://tinyurl.com/dx8as4,positive
7391,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight",neutral
7392,"Man, lkoking through and packing up my books is looking at my past lives. Feeling kind of sentimental",positive
7393," yeah, it`s gonna be rubbish!",negative
7394, you suck majorlly  i`m swamped...so why am I on twitter...I don`t know...but still  a golf tournament?,negative
7395,Can`t sleep rite now because of havin` so much tea!!! 2nite I`ve just failed the test of my Lpi course   Next week i`ll make it better!,neutral
7396,GoMorning Everyone. !.!. Time for work,neutral
7397, nice! I wish twitter would tile mine,positive
7398, OHH. haaha ok thanks,neutral
7399,i have the song here comes goodbye stuck in my head not a good song to be singing considering my situation,negative
7400, yay were all ssaved! Weve overcome god again!,positive
7401," Np mate, was great meeting you in Prague",positive
7402,watching run faaat boy run...haha its soo funny.,positive
7403," don`t i know it, writing an exam essay this weekend myself",neutral
7404, i need lele to answer meeee! Haha.,positive
7405,implementing will_paginate  on my website; i love rails,positive
7406, and Btat is dining Bones in Peru - double,neutral
7407,"mmmmmm, late night Brusters ice cream! om nom nom nom",positive
7408,Rof. I love you too Trina.,positive
7409,Tidied & hoovered the whole flat - and all b4 10am today  Now we`re heading out2 German bakery 4 breakfast followed by a walk in the park,neutral
7410, ! HE HAS A FAVOURITE! You`re his favouriite ;) OMGAAH.   sorry for creepering? ..not really lol,neutral
7411,Gremlin is asleep after a particularly challenging bedtime. I think it`s safe 4 me to go to bed -what a crazy Sat night for me!,neutral
7412,  congratulations on yoour shirt btw!,positive
7413," Ironically, that thought goes through my head (no pun intended) for *every* headache I have...  Hope it goes away soon.",neutral
7414, That sucks!  It`s thundering here.  I`m getting ready to shut down.,negative
7415,Saw Xmen Origins on Sat! By far the BEST Xmen movie! AMAZING!!!,positive
7416,"#BGT DCD Seniors were gooood, but not good enough.",neutral
7417,Hmph I had to order some bootleg Pharos GPS phone they dont have the BB I wanted at Office Depot,neutral
7418,just gott home from work and nnow relaxing,positive
7419, baby help me with math,positive
7420,Happyyyy Friday. Just pulled some yummy radishes out of the garden. Hope the strawberries turn out. Still no blooms.,neutral
7421,happy momies day!,positive
7422, pictures ross.,neutral
7423, nice recolouring oof your page  nobody is buying your anti-twittering words!! YOU LOVE IT!!!!,positive
7424, i have no phone  whatchu doing tonight sucka. no dane cook she sold the tickets. lamee.,negative
7425,Almtst got sharpied in the face while falling asleep  being sick sucks!!!,negative
7426,is allergic to you...Oh NO!,negative
7427,: s sent you an other call me back message  x,neutral
7428,I am so bored,negative
7429, haha i lve surprises! i don`t work til sunday tho so i have to wait.,positive
7430, we won`t be in town  email me if there is another one though.,neutral
7431,Soo full that im starting to feel sick,negative
7432,"Again, I`m stuck in traffic jams ... Somewhat starting to be the same situation every day. That`s sad, really",negative
7433, I cat`t Vote 4 u a the MTV movie awards. There is no vote button. Is it cause i live in sweden? I wanna vote 4 u 2  u rock xo,neutral
7434,Happy May Bank Holiday British Peeps,positive
7435,is going to he Derny race with Sofie & Cindy.... And i`ll see Eric there !,neutral
7436,causee not everyone can pass the challenge test duh,neutral
7437,Tninks she`s getting sick.....,negative
7438,Trip to the zoo today,neutral
7439,  Wish you both a veery Happy and Fabulous Mother`s Day!,positive
7440," NOOOO I`ll miss you too much!  I went stag to my prom and all the high school and middle school dances, if that helps. >_>",negative
7441,is ving the half day! If only it wasn`t raining.  Soccer Practice tonightt.,positive
7442," Ah  So you`ve seen both. (Either way, you get to experience the fantasy of sound and shock waves in the vacuum of space. Heh.)",neutral
7443," I know...I would ooo. Yes i cant wait for BB, i love it! I heard theyre not showing the 24 hr live streaming this year though",positive
7444,flipping out on my hairloss....gotta go to the doc.,negative
7445,dad a great night,positive
7446, this kitteh likes going in front... or behind... or to the side...of the box.,neutral
7447, Oh God bleess you,positive
7448,Checkin out oramarecords.com. Got a fever and cnt sleep,negative
7449,Finally eating unagi I`ve been saving up for a while! +udon :] AGH I just realized the band playiiiing at Bear Garden today is one I like!,positive
7450, So what do you do when you wake up? Morning by the way,neutral
7451, noooooooooo my parrents found my stash,negative
7452," Hehe ! Thanks for your advicce  I choose the shoes, only three of them, so hard !!!",positive
7453," agreed  it did take me a little while to find my way on stocktwits, but once I did, I cant imagine working w/o it",neutral
7454,ehe pool is just not fun without Tim in it...,negative
7455, And it`s such glorious weather too - poor you,neutral
7456, I war really disappointed with the whole 'promiscuous girl' thing. congrats on her success but i think wasted talent,neutral
7457,Still at work whaaaaaaaahhhh,neutral
7458,schoool time. not doing much this week.  about 20 more days of school and it`s time for NYC!  can`t wait for the last day of school.,positive
7459, cut yourself a slice of cheese cake.. it makes everything better,positive
7460,Canotoday go any slower? Time is just dragging by.,negative
7461,Finally got my lil monster off my hands so I could run errands and now I gotta do them in the rain!!!,neutral
7462," Hey sorry this is late, I lllleave in 30 min  raincheck...tomorrow?",negative
7463, Hi Miss.  Isabelle here. :],neutral
7464,Heading h after a long week. Wish someone onther than marketers would follow me,positive
7465," actually, i play keyboards for pohaku lol. we played a 12st bday earlier and now i`m spinning at the shack",neutral
7466, 80th fallower,neutral
7467,  psst new blog up.. comments me likey,positive
7468, u feelg urself so much u cant say hi???  me no likey u,negative
7469, wow! I`ve joined the photography scene pretty recently so this (large format) makes it even more interesting,positive
7470, I was going to go to london for aa week then had to change my ticket! I would have been there right now,neutral
7471,twitwoo! i can tweet from my phone,neutral
7472,_steph boo  I miss you! It`s been ages. Once I get Internet back I`ll try to fix ALO haha it likes to act up frrrrom time to time...,neutral
7473,is sad that shin ae got married...and it wasn`t to alex,negative
7474,iver get any followfridays,neutral
7475," Ha, fun! I think Iï¿½ll rewatch (parts of) season 5 today...in preparation for 2morrow night!",positive
7476,m m is ok so far. just missing jaron,negative
7477,I almost say 'bless you' to a sneezing cat,positive
7478,http://bit.ly/147HEU  - don`t judge meeee. tucking myself in tonight  mogwai on repeat,neutral
7479,Wine..beer..and champagne..lets see how that goes for me tomorrow..lol,neutral
7480,Yeah I think I ttttouched something that had mikes germs on it because I have a sore throat now  dammit I knew I should have not gone there!,negative
7481, goodmorning,positive
7482,my brother is irritatng. and not just bc he takes & wears my clothes without asking. i want to punch him violently for **** he does.,negative
7483, You have arthritis in them?  Really??  Poor you  That would be painful - but you can`t be that old.  How many squats did u do,negative
7484,wants to gooo back to charleston,neutral
7485, of course,neutral
7486,"_lucianoajailbreak went great, just not a tremendous amount of apps ready for 3.0 though. No winterboard yet",positive
7487,I want to be like Horatio Caine,neutral
7488,Right now at mecond gig !!! Sippinn on guess whut ? Water  we sta focused we are on the job,positive
7489,Had a good end to a busy day and now I`m off to bed with a full belly of sushi,positive
7490,abo t to go to acting school  yayay,positive
7491,"got a prerecorded phone call from JJ asking to vote for ADMK led front, phone number is +914044621160, hyderabad connections",neutral
7492,happy mother`s day  & later on i can`t wait to see _day26 in concert. lol. weeell ima see all of day 26 but i like him the most ;D,positive
7493,watching The Uninvited in my room. Can`t wait to go home. But I have to go to the Deid first.,neutral
7494,turning in.  `s been a loooong day.  just got my new US edition Esquire so going to fantasize that I could one day look like Megan Fox.,neutral
7495,"I also want it to be the 6th, i miss my girlies so much   WE GET TO BE ROOMIES AGAIN!",negative
7496,upaoading new videos on youuuchuuub!,neutral
7497,"i need to read  fic again, but i lost it",neutral
7498," love you tooooo  Duuude,i need toooo make myself a shirt that says something cool! what should it say?",positive
7499,just broke a vase that i didn`t even get a chance to use,negative
7500," yeah.because i`ll have to go tomorrow morning and get picked up early sunday, so i see no reason to go the whole weekend",neutral
7501,I saw Thirst which is korean movie made by chan-wook Park . this movie isn`t hard but good,neutral
7502," i just went to find that unity girl on bbebo, i cant find her! i fail at bebo stalking",negative
7503," get better omg i still dont believe that i didn`tgot a picture with you  it`s soo sad, i don`t now when i`m gonna see u again",negative
7504, OM....that is soooo sad.,negative
7505, My dream was about hanging out with all my friends. It was good until I woke up and they weren`t there.,neutral
7506, go luck C have funn!,positive
7507, they got attacked by the club,negative
7508," haha...Live long & prosper. The movie was better than I thought, they did an awesome job, I`m pleased",positive
7509,is looking forward to tonight`s dinner date with Mom; is gymming this afternoon; started 'bawas kanin' (less rice) movement; is celibate.,neutral
7510,Feell like im going to cough up a lung,negative
7511, I like only the james bond series. Thats what a spy movie is!,positive
7512,just got back from rachael`s house,neutral
7513,the we k just wasnt the same without an adam lambert performance!!!,neutral
7514,off to sleep  on 2 katy perry songs as soundtrack  x,neutral
7515, alright - was only joking - I just said no wine here  - fool me maybe? - I don;t like drinkiiiing,negative
7516,has to do two 50 page assignments this weekend  there goes any chance of relaxation!!,negative
7517,New issue o   in the office...desperately want to flick through but have so much to do. It`ll have to wait,negative
7518,is very shocked and feeling sick... but happy all the same,neutral
7519, cup cakes are sooo yummy - but would have 2 have coffee chasssser- u know where that can lead,positive
7520,can`t wait to see those pics ,neutral
7521,ood morning all! Its a fabulous morning here!,positive
7522, i can so sympathise with that,negative
7523, Thanksry much for the #ff  ! My only one today,positive
7524," you know, i would love to see 5 lies editors believe about writers. #justsayin",positive
7525,ha.a. i love you too aimeeeeeee!,positive
7526," why arent u famous already? lol you have a very adoring fan, that fan would do anything for you hehehe, im you no.1 fan",positive
