,text,sentiment,classification,clean_text
7076, I am glad to hear that you are ok. Without you they would have to rename the show to  'Just Friends',positive,1.0,glad hear ok without would rename show friend
7078, ohhhh excellent song..hello my friend!,positive,1.0,ohhhh excellent songhello friend
7082,"the $60,000 i spent going to college was well spent.  I`m going to meet a man tomorrow in the Toys`R`Us parking lot for a cleaning job.",positive,1.0,spent going college well spent im going meet man tomorrow toysrus parking lot cleaning job
7083,had a thrilling time with DAS joyride roadtrip! nice driving Pai and Paulo.  http://plurk.com/p/rrg18,positive,1.0,thrilling time da joyride roadtrip nice driving pai paulo httpplurkcomprrg
7085," Batman: Arkham Asylum, but I don`t own a system that will play it, sadness",negative,0.0,batman arkham asylum dont system play sadness
7086,  Thank you,positive,1.0,thank
7087," : dougie, it`s coffee. There`s no 'I' on coffee. Hahaha and your name comes up as predicted text. Pretty awesome",positive,1.0,dougie coffee there coffee hahaha name come predicted text pretty awesome
7088,ughhh seriously hung over,negative,0.0,ughhh seriously hung
7089,"my littelist fish, udon, is dearly departed",negative,0.0,littelist fish udon dearly departed
7090,_shields06 good job!  I wish i worked in a zoo,positive,1.0,shield good job wish worked zoo
7094,Roasting to most probably death,negative,0.0,roasting probably death
7095, oh great.,positive,1.0,oh great
7097," awesome, I`m looking at sourcing some as well.",positive,1.0,awesome im looking sourcing well
7098, How would I know if u didn`t tell me??? Too busy cakin to pay me any attention,negative,0.0,would know u didnt tell busy cakin pay attention
7099," Link won`t open, but I will try it when i have a better connection tomorrow. I`m curious now",positive,1.0,link wont open try better connection tomorrow im curious
7101, oh oh oh are you offering to send ducks!  I love love love confit duck,positive,1.0,oh oh oh offering send duck love love love confit duck
7103,Beautiful Day..takn it down twitters  tell ALL mothers Happy Mothers Day,positive,1.0,beautiful daytakn twitter tell mother happy mother day
7105,wished didnt spend money last night,negative,0.0,wished didnt spend money last night
7106, yo wake your **** up  and go to work  go get that paper  u aint sick dont lie,negative,0.0,yo wake go work go get paper u aint sick dont lie
7108,Such a beautiful morning,positive,1.0,beautiful morning
7110,90210 9pm  I laaaaaaaaave it.,positive,1.0,pm laaaaaaaaave
7111,Nooo...i forgot my calculator for physics   oh well class is allmost over :3,negative,0.0,noooi forgot calculator physic oh well class allmost
7113,Shower head broke while i was in the shower and shot straight @ my head.may get a welt later on from it,negative,0.0,shower head broke shower shot straight headmay get welt later
7116,arrghh stupid eczema      i have to go soon. sort it OUT! :/,negative,0.0,arrghh stupid eczema go soon sort
7117,"  I love you, though!",positive,1.0,love though
7119,TGIF... Hubby dragged me out to buy car parts. I am tired n cranky,negative,0.0,tgif hubby dragged buy car part tired n cranky
7120,"Today is my first real mothers day with my son actually here  he wasn`t born yet last year , can`t wait to hug him when I get home",positive,1.0,today first real mother day son actually wasnt born yet last year cant wait hug get home
7121,happy mother`s day,positive,1.0,happy mother day
7122,I wonder how effective these street preachers are....   http://twitpic.com/67qhz,positive,1.0,wonder effective street preacher httptwitpiccomqhz
7123,wondering if anyone has seen my cell phone i cant find it anywhere,negative,0.0,wondering anyone seen cell phone cant find anywhere
7127, psh... I`m not cool enough to go to their open-houses.,negative,0.0,psh im cool enough go openhouses
7130,I dont believe in my eyes or should I say on my browser? OMG OMG OMG,negative,0.0,dont believe eye say browser omg omg omg
7135,  just listened to the songs on your myspace.  really good,positive,1.0,listened song myspace really good
7137,"morning, still trying to find a babysitter, there is a creche at the gym so might leave him there, but just know he won`t be happy",negative,0.0,morning still trying find babysitter creche gym might leave know wont happy
7138, I can`t work out if you`re into diesel or rice burners.,negative,0.0,cant work youre diesel rice burner
7140,Oh good. I get to be the gooseberry all night now that katy isn`t coming,positive,1.0,oh good get gooseberry night katy isnt coming
7142," Good luck  I wanna see them again too. I waited outside by their buses to see them before, no autographs tho!",positive,1.0,good luck wanna see waited outside bus see autograph tho
7143,has plopped TWICE! TWICE!  http://plurk.com/p/svs0y,negative,0.0,plopped twice twice httpplurkcompsvsy
7145,talking to my BABE  he`s amazing,positive,1.0,talking babe he amazing
7146,  _Vincent  @ i missed the party!!!!  i bought wine and everything!!!,negative,0.0,vincent missed party bought wine everything
7147, http://twitpic.com/4phze - Awe! I miss my baby,negative,0.0,httptwitpiccomphze awe miss baby
7148,"  I`m soo sad. It`s just on the edges of the pages, but it`s not gonna come out. *cries*",negative,0.0,im soo sad edge page gonna come cry
7149,"I`m at work, hoping to enjoy the day!!  Fingers are crossed!!",positive,1.0,im work hoping enjoy day finger crossed
7150,TGIF. I don`t feel good.,negative,0.0,tgif dont feel good
7155,Honza takes his flight back to the Czech Republic in the morning  I`m really going to miss him.,negative,0.0,honza take flight back czech republic morning im really going miss
7157,  i know. it sucks,negative,0.0,know suck
7158,_W wow-thanks soo much. Hope your well,positive,1.0,w wowthanks soo much hope well
7162, whats wrong babe?  x,negative,0.0,whats wrong babe x
7165, Me too I need the sudden urge to do it. Missing the Diplomat title,negative,0.0,need sudden urge missing diplomat title
7166,_Perez That`s great! I hope I`ll study with my bff too and we`ll live together. well..we will see,positive,1.0,perez thats great hope ill study bff well live together wellwe see
7167,So effing tired  http://bit.ly/e0ZFz,negative,0.0,effing tired httpbitlyezfz
7168, Hey Lauren...I`m a huge fan! I hope you are having fun at Wango Tango!!,positive,1.0,hey laurenim huge fan hope fun wango tango
7170,Want to get a Blackberry but can`t afford it  . Just watching the telly and relaxing. Hard sesion tomorrow.,negative,0.0,want get blackberry cant afford watching telly relaxing hard sesion tomorrow
7171," Thank you, thank you!! Thought this is where all the cool kids hang out now, hehe  xoxo!",positive,1.0,thank thank thought cool kid hang hehe xoxo
7172, Good afternoon Jonas Brothers  x,positive,1.0,good afternoon jonas brother x
7173," I wish I could work like you, dude...",positive,1.0,wish could work like dude
7175, welcome back chica! hope you had a nice break,positive,1.0,welcome back chica hope nice break
7178,Goood Moring,positive,1.0,goood moring
7183,i hate the bus...any donations toward my car fund?,negative,0.0,hate busany donation toward car fund
7184, Bad rum experience in college - still haven`t recovered,negative,0.0,bad rum experience college still havent recovered
7187,i need new running shoes!! my feet are completely torn up,negative,0.0,need new running shoe foot completely torn
7189, not so good,negative,0.0,good
7190,Wishing all the Mama`s out there a very Organic Happy Mother`s Day,positive,1.0,wishing mama organic happy mother day
7192, Hey thanks for following  Love the name Elijah thats what im going to name my Son,positive,1.0,hey thanks following love name elijah thats im going name son
7194,Hahhahah I`m watching the greatest movie ever,positive,1.0,hahhahah im watching greatest movie ever
7197, have a great camp!!!!! Wish I could be there.,positive,1.0,great camp wish could
7198,i miss you tooooo  you arent too far! *A*,negative,0.0,miss tooooo arent far
7199,Watching Dr. Phil`s special on same-**** marriage. It`s sad how ignorant some people are,negative,0.0,watching dr phils special marriage sad ignorant people
7202,Happy Mother`s Day to all the Mommiessss,positive,1.0,happy mother day mommy
7205,massive headache. argh,negative,0.0,massive headache argh
7206," by the way, just saw u on ellen yesterday. here it`s late comparing to usa. u were awesome!!!",positive,1.0,way saw u ellen yesterday late comparing usa u awesome
7207, #MusicMonday I agree it`s just an excuse for me to tweet music for hours on end,negative,0.0,musicmonday agree excuse tweet music hour end
7208,Poor Nicole just absolutely DESTROYED her cell phone,negative,0.0,poor nicole absolutely destroyed cell phone
7209,be sure to tell your Mom you love her and thank her for putting up with you!,positive,1.0,sure tell mom love thank putting
7210,"Happy Mother`s Day to all the mums out there, old & new.",positive,1.0,happy mother day mum old new
7211," oh yeah, that`s right! thanks for reminding me",positive,1.0,oh yeah thats right thanks reminding
7212,I should`ve known something would go wrong. The van is having problems. Oh please tell me it will not cost us an arm and a leg,negative,0.0,shouldve known something would go wrong van problem oh please tell cost u arm leg
7213,My mom was happy with my present  yayy,positive,1.0,mom happy present yayy
7215,_star v. good. i thought you were registered na?,positive,1.0,star v good thought registered na
7216, Brent Cross? wow! I live very close from there!,positive,1.0,brent cross wow live close
7217,working from home and ran out of coffee!,negative,0.0,working home ran coffee
7218,Greg:Showing my friends AudioBoo http://audioboo.fm/ Everyone seems 2 love it. Ta for the headzup bro. So need 2 get iPhone. Roll on June,positive,1.0,gregshowing friend audioboo httpaudioboofm everyone seems love ta headzup bro need get iphone roll june
7223,"Charter is pissing me off, the rest of the internet can access my blog except me   should have it fixed soon they say, we will see...",negative,0.0,charter pissing rest internet access blog except fixed soon say see
7224,  _c    Thank you for the FFs my friends!,positive,1.0,c thank ffs friend
7226,"Great meeting...lunch on the patio in the sunshine...nothing more perfect  busy day...time for bed, ahhhhh",positive,1.0,great meetinglunch patio sunshinenothing perfect busy daytime bed ahhhhh
7227,wishing I was anywhere but here...,negative,0.0,wishing anywhere
7228,Hats off to a slightly unexpected yet very successful end to a grouling day!!! Night all,positive,1.0,hat slightly unexpected yet successful end grouling day night
7229, whuahahhaha you need to cut down on them Bram Ladages/Applejacks/pancakes,positive,1.0,whuahahhaha need cut bram ladagesapplejackspancakes
7231,"17 things to do, the last thing on my mind is cleaning up everyone`s cake mess",negative,0.0,thing last thing mind cleaning everyones cake mess
7232,feeling lonely,negative,0.0,feeling lonely
7233, I WISH YOU WERE GOING TOO!  are you still coming to nicoles preprom?  Can`t wait for preprom!!!!,positive,1.0,wish going still coming nicoles preprom cant wait preprom
7237,About to be stick at work till freakin 2 am.  Madd suck and I worked most the day!,negative,0.0,stick work till freakin madd suck worked day
7238,"is missing her best friend  commme back kayla, going out in a little while",negative,0.0,missing best friend commme back kayla going little
7240,thinks someone may have keyed her car.  Big scratches on the hood.,negative,0.0,think someone may keyed car big scratch hood
7243, ii DON`T HAVE ANY EiTHER,negative,0.0,ii dont either
7244,Tweeting from the tarmac at Cork Airport. Delayed,negative,0.0,tweeting tarmac cork airport delayed
7245,It should be illegal for me to date,negative,0.0,illegal date
7246,"Its official, I`m having the worst day. I called it a mile away",negative,0.0,official im worst day called mile away
7247,I scratched my iPod,negative,0.0,scratched ipod
7248,omgeee that hurt like helll. finally got it back in. can`t close it put the ball back in,negative,0.0,omgeee hurt like helll finally got back cant close put ball back
7250," tell zach & jer I said happy birthday!  they seem like cool brothers, youre lucky haha",positive,1.0,tell zach jer said happy birthday seem like cool brother youre lucky haha
7251, take me with you!!!  Have fun!,positive,1.0,take fun
7252,Goddamn bloody stress and **** sending my body haywire,negative,0.0,goddamn bloody stress sending body haywire
7253,I miss my daddy so much.,negative,0.0,miss daddy much
7256,Then back to **** school,negative,0.0,back school
7257,Now i cant find him  Gonna be a sleepless night tonight,negative,0.0,cant find gonna sleepless night tonight
7259,"_cm  Didn`t drink enough for a hangover, just tired and over worked",negative,0.0,cm didnt drink enough hangover tired worked
7260,I wanna say happy mother`s day to all the mom`s including mine love u mama,positive,1.0,wanna say happy mother day mom including mine love u mama
7261,I miss laughing till my stomache hurts,negative,0.0,miss laughing till stomache hurt
7262,  Aww bless hope the phones okayy  x x,positive,1.0,aww bless hope phone okayy x x
7263,"Just spoke to Keith Urban`s record company, we can`t get him on the show till we`re back from holidays  sorry Jack, we`re trying mate!",negative,0.0,spoke keith urbans record company cant get show till back holiday sorry jack trying mate
7265,"it would sicken most, the number of ways I am able to tweet",negative,0.0,would sicken number way able tweet
7266,hi beautiful! How`s it going?  ,positive,1.0,hi beautiful hows going
7268," yeah that was me yesterday after i found out the house i want is sold, my bank effed me over and then the car accident",negative,0.0,yeah yesterday found house want sold bank effed car accident
7269,"Well Done , Visteon Belfast, 2 years salary paid. Just shows what happens when you stand up for yourself",positive,1.0,well done visteon belfast year salary paid show happens stand
7271,Ugh..just starting another 2 hours of behind the wheel for drivers ed,negative,0.0,ughjust starting another hour behind wheel driver ed
7272,hurt. done trying..,negative,0.0,hurt done trying
7274,My chick wont shut up  Will only stop chirping if i sit with the bloody thing.,negative,0.0,chick wont shut stop chirping sit bloody thing
7276,had a fun day at the theatre... glad to be back in town for a while,positive,1.0,fun day theatre glad back town
7277,interesting day. good overall,positive,1.0,interesting day good overall
7278,i want to cry,negative,0.0,want cry
7279,"Happy Star Wars Day, may the 4th be with you  my lil` 12yr old bro is at home playing with a lego AT-AT and dozens of stormtroopers.",positive,1.0,happy star war day may th lil yr old bro home playing lego atat dozen stormtroopers
7281, Good Morning  Hows u ?,positive,1.0,good morning hows u
7283, I wish our  didn`t close,negative,0.0,wish didnt close
7284,"  Thanks for the link, ive voted & i`ll send that out too.",positive,1.0,thanks link ive voted ill send
7285,Wishes  a Happy Mother`s Day!,positive,1.0,wish happy mother day
7286,My bum hurts.,negative,0.0,bum hurt
7287,Good night everyone...... Time to go mimmiz......,positive,1.0,good night everyone time go mimmiz
7289,Flight to hurghada delayed 7 hours,negative,0.0,flight hurghada delayed hour
7291,no more brother for 2 weeks.....,positive,1.0,brother week
7293,is also very excited for the BLAZIN SQUAD revival!  im rooting for `em-- their new song http://tinyurl.com/dz7tms,positive,1.0,also excited blazin squad revival im rooting em new song httptinyurlcomdztms
7294,off to do some gardening and get lots of fresh air - i love Sundays,positive,1.0,gardening get lot fresh air love sunday
7295,listening to ECHO by Gorilla Zoe ahh love that song,positive,1.0,listening echo gorilla zoe ahh love song
7296,Its so hot here,negative,0.0,hot
7297,Just saw a dark burgundy Scion xB. That dark shade makes it look like a minivan because the shawdows of the lines and curves are lost.,negative,0.0,saw dark burgundy scion xb dark shade make look like minivan shawdows line curve lost
7298, wow! you`ve been tweeting all night!! looks like you totally made up for the day,positive,1.0,wow youve tweeting night look like totally made day
7300, Where are u  miss you I hope you are doing well *sending big hugs*,positive,1.0,u miss hope well sending big hug
7302,ughh...i dont feel good,negative,0.0,ughhi dont feel good
7303, Awesome! that`s how I wanna roll when I become mogul status,positive,1.0,awesome thats wanna roll become mogul status
7304, yeah I didn`t realize how bad it all was till now,negative,0.0,yeah didnt realize bad till
7305, Aww  Yeah I feel you. I know its hard.,negative,0.0,aww yeah feel know hard
7306,I want to watch the movie 'Up' but no one wants to watch it with me,negative,0.0,want watch movie one want watch
7308, i really am going to miss you,negative,0.0,really going miss
7310,so tired.   only need to be here another 30 minutes.,negative,0.0,tired need another minute
7311,Just finished The Minish Cap. It`s a great game! I`ll miss Ezlo and Link.,positive,1.0,finished minish cap great game ill miss ezlo link
7313, unfortunatley it is the tooth kind of crown,negative,0.0,unfortunatley tooth kind crown
7317, yep  which sucks because i thought somewhere it said it was..,negative,0.0,yep suck thought somewhere said
7319,Saturday is Partytiiime,positive,1.0,saturday partytiiime
7321,**** i have something to say and no one is listening,negative,0.0,something say one listening
7322,recovering from mexican fiesta. Had a bit too much of a good time!,positive,1.0,recovering mexican fiesta bit much good time
7323,Good morning my little twitternut squashes   How are you all today? whats the weather like where you are?,positive,1.0,good morning little twitternut squash today whats weather like
7325,Um... happy star wars day btw. Cheers to all you scruffy looking nerfherders and hot ami`s out there.,positive,1.0,um happy star war day btw cheer scruffy looking nerfherders hot amis
7329, Yay for full-term!!,positive,1.0,yay fullterm
7330,"Just woke up & can`t go back to sleep. Had a txt from the bff sayin if you`re up call me, sounds important but that was 4 hours ago",positive,1.0,woke cant go back sleep txt bff sayin youre call sound important hour ago
7332, awesome! cheers man! don`t know if i`ll have much money left after todays shopping spree though!,positive,1.0,awesome cheer man dont know ill much money left today shopping spree though
7333,This already feels like one of those days where I just won`t be able to win.,negative,0.0,already feel like one day wont able win
7336," Everyone, please welcome my new friend, Kari, with a warm follow, as she just set up her twitter account tonight",positive,1.0,everyone please welcome new friend kari warm follow set twitter account tonight
7338,she made my sister cry too hahah. bless her.  i hope she can do it again.,positive,1.0,made sister cry hahah bless hope
7339, pshh. Thanks.,positive,1.0,pshh thanks
7343, dammm..i thought i was on to something  lollllll,negative,0.0,dammmi thought something lollllll
7344," No, it`s annoying and makes us girls that follow sports and are knowledgable look dumb",negative,0.0,annoying make u girl follow sport knowledgable look dumb
7346, YES!!! one final party  better make it a good one !! how much mpre stuff you got to go?,positive,1.0,yes one final party better make good one much mpre stuff got go
7350,"this laptop is going to die, its not working!",negative,0.0,laptop going die working
7352, Good Morning my Swedish Friend. I love the Meat Balls.  haha,positive,1.0,good morning swedish friend love meat ball haha
7353," I want to get all dressed up and go out to, but I to have no one to go with, I`m with you mentor",negative,0.0,want get dressed go one go im mentor
7354,"Happy mothers day to those of u that are mothers, and happy mothers day to all of your mothers      I miss my mom....",positive,1.0,happy mother day u mother happy mother day mother miss mom
7356,: aiaahh.. poor u  tell ur mom already?,negative,0.0,aiaahh poor u tell ur mom already
7359,Roscoe - Smooth Sailin` WHY DID NO ONE TELL ME ABOUT THIS SONG?????? RAP FRIENDS U HAVE FAILED ME,negative,0.0,roscoe smooth sailin one tell song rap friend u failed
7361,I`m at home recovering from major liver surgery.  In alot of pain.,negative,0.0,im home recovering major liver surgery alot pain
7362, don`t care about my struggles..,negative,0.0,dont care struggle
7363, yeah I m so happy for them that they should moved on and out there partying I m so happy,positive,1.0,yeah happy moved partying happy
7364,"So much work, so little time",negative,0.0,much work little time
7365,Happy Mother`s Day Moms  Take a load of for at least a day!,positive,1.0,happy mother day mom take load least day
7366,Home. Don`t think i`ll wake up at 5. :-p I had set an alarm for 6 in the kids` room & forgot to turn it off. I feel bad about that.,negative,0.0,home dont think ill wake p set alarm kid room forgot turn feel bad
7367,Silly boyfriend forgets his phone charger on his 4 day long trip to Kilkenny and now I can`t talk to him and see how his gig went! Poo!,negative,0.0,silly boyfriend forgets phone charger day long trip kilkenny cant talk see gig went poo
7372," Thanks mate, just came on board here at Twitter ...  .. tweet up sounds great..",positive,1.0,thanks mate came board twitter tweet sound great
7373,"Oh, and now Mondays also mean new American Dad!  So glad I watched that show, so funny, and it makes Mondays even better",positive,1.0,oh monday also mean new american dad glad watched show funny make monday even better
7375,getting bored of walking up and down the stairs,negative,0.0,getting bored walking stair
7376,"Eating Toast  ~Peanut Butter,,Yum",positive,1.0,eating toast peanut butteryum
7377,"barely awake, eating breakfast.. marathon morning!   Good luck to all the racers, and happy Mother`s Day!",positive,1.0,barely awake eating breakfast marathon morning good luck racer happy mother day
7379,Thinking I`m super excited about this week!,positive,1.0,thinking im super excited week
7380,"Orange/Pineapple/Banana smoothie after a very long, very hard day = HEAVEN!",positive,1.0,orangepineapplebanana smoothie long hard day heaven
7381,i`m pretty bored/tried. my mom is going to be home in an hour.  is fixing to leave. aww...  she`s going to texas for a month..,negative,0.0,im pretty boredtried mom going home hour fixing leave aww shes going texas month
7383,FacePanda is cool,positive,1.0,facepanda cool
7384," I`m running out of things to say, and I`m starting to think you`ll hate me for flooding your inbox with 'Philippines tour?'",negative,0.0,im running thing say im starting think youll hate flooding inbox philippine tour
7385,"is on allegra, flonase and a steroid inhaler for the rest of the allergy season. throat still hurts from the asthma",negative,0.0,allegra flonase steroid inhaler rest allergy season throat still hurt asthma
7386,about to start my least favourite chore.... mopping the floor,negative,0.0,start least favourite chore mopping floor
7387,why does twitter hate me i cant put no photos on my page,negative,0.0,twitter hate cant put photo page
7389,"awesome milkshakes, i had areo mint,. we just blended it up, it was like a lumpy smoothie  so then we did some more chattering and ...",positive,1.0,awesome milkshake areo mint blended like lumpy smoothie chattering
7390,So many freebies for all my JBnoy friends  SPAM THREAD SOON.,negative,0.0,many freebie jbnoy friend spam thread soon
7391,NiGHT NiGHT MY TWiTTER LOVES ON THE PHONE THEN SLEEP,positive,1.0,night night twitter love phone sleep
7394,Why the **** can`t I be over this ??? I feel like crying bit I realy don`t want to  why is this bothering me sooooooo much !?,negative,0.0,cant feel like cry bit realy dont want bothering sooooooo much
7400,Happy 11th  I`m going to sleep now lolz,positive,1.0,happy th im going sleep lolz
7402, thanks for the message - just worked out how to see them and reply!,positive,1.0,thanks message worked see reply
7403, Happy birthday. Let us know what you get up to old boy,positive,1.0,happy birthday let u know get old boy
7407, lucky! been beggin for jury duty for years...they dont ever send me notices! just notices for other people to my address!,negative,0.0,lucky beggin jury duty yearsthey dont ever send notice notice people address
7408, hey!  YAY! thanks!  wow ur page is awesome!!!!!,positive,1.0,hey yay thanks wow ur page awesome
7409,Im.in.the.room Im.watching.the.HANNAHmovie.withMOM.She.said.this.film.very.great.,positive,1.0,imintheroom imwatchingthehannahmoviewithmomshesaidthisfilmverygreat
7413," Patience, it`s worth it",positive,1.0,patience worth
7414,producing the 6 with  then anchoring... and a sad goodbye to Miss Lynne Ashminov  we will miss you!,negative,0.0,producing anchoring sad goodbye miss lynne ashminov miss
7416, Sounds good to me!  Taylor + Kellie on tour together is just pure genious!,positive,1.0,sound good taylor kellie tour together pure genious
7418,Thanks so much for following me here too  I will keep you all up to date as much as possible on my makeup line plus all new collections,positive,1.0,thanks much following keep date much possible makeup line plus new collection
7422,"Good morning World   This will be another wonderfull day, starting with breakfst with champions...  my kids ofcourse",positive,1.0,good morning world another wonderfull day starting breakfst champion kid ofcourse
7423,tummy hurts,negative,0.0,tummy hurt
7425," big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot",negative,0.0,big vanessa going september going fast hard cuz im workin much miss alot
7426,Chemistry is not fun..,negative,0.0,chemistry fun
7429,OMG! i`m almost done with the last block on this quilt! Just a few hours of work left  i can`t wait to meet my goal,positive,1.0,omg im almost done last block quilt hour work left cant wait meet goal
7433,"I have class tomorrow and tomorrow is Saturday, I hate having class Saturday",negative,0.0,class tomorrow tomorrow saturday hate class saturday
7434,i hate having the same hair for too long. i think i want super looong hair now,negative,0.0,hate hair long think want super looong hair
7435,"Zen-related stuff: 'Go with the flow.' Very easy to accomplish - it started to rain, so the rain will flush me away",positive,1.0,zenrelated stuff go flow easy accomplish started rain rain flush away
7436,"hates the everything about  seafood.. just so happened to serve lobster in the chow hall... noooowww, I gotta headache.. ugh! smh...",negative,0.0,hate everything seafood happened serve lobster chow hall noooowww gotta headache ugh smh
7438," nigel really enjoyed it, but he`s got a big scratch on his side that inexplicably appeared afterwards...",positive,1.0,nigel really enjoyed he got big scratch side inexplicably appeared afterwards
7440, my kid is sick too tho..i can`t do it by myself.  i can`t go there by myself like a crazy stalker,negative,0.0,kid sick thoi cant cant go like crazy stalker
7444,is enjoying the night with her folks.,positive,1.0,enjoying night folk
7445,Nooooo! Its going to rain on my birthday,negative,0.0,nooooo going rain birthday
7447,feeling really dizzy  not soo good,negative,0.0,feeling really dizzy soo good
7448,"Happy Friday Dance, no rain and I`m about outta here..till 2morrow  I sat the saturday morning shift, but its still all good",positive,1.0,happy friday dance rain im outta heretill morrow sat saturday morning shift still good
7449,Good morning!!! Who wants breakfast??,positive,1.0,good morning want breakfast
7450,Loved the sun today. Did not love a black suit and black top plus 6 trains/tubes to get to my meeting and back  Need to shop for summer,positive,1.0,loved sun today love black suit black top plus trainstubes get meeting back need shop summer
7451,Make sure u pick up Chrisette Michele`s new album EPIPHANY in stores tomorrow May 5th! You will love it! Promise!  Congrats ,positive,1.0,make sure u pick chrisette micheles new album epiphany store tomorrow may th love promise congrats
7452,i am doing homework it sux big time maths is the worst!!!!!!,negative,0.0,homework sux big time math worst
7454," cool, so if you could help make that happen, & make sure it happens at least once in houston, that`d be great. k? thanks.",positive,1.0,cool could help make happen make sure happens least houston thatd great k thanks
7456,to my pretty lady  HAPPY MOTHER`S DAY!!! She`s the mother of my future son-in-laws,positive,1.0,pretty lady happy mother day shes mother future soninlaws
7457," praying you get better soon you sweet one , sorry your still not well",positive,1.0,praying get better soon sweet one sorry still well
7458, I LOVE pb & banana sandwiches!! Still a fav of mine,positive,1.0,love pb banana sandwich still fav mine
7459,Saw Fiddler with Topol! The girls LOOOOVED it!  Next month... Annie! 7th row! *can`t wait* Trip 2 the music store for Fiddler sheet music.,positive,1.0,saw fiddler topol girl looooved next month annie th row cant wait trip music store fiddler sheet music
7461,Standing ovation for Wieters. Nobody was sitting down. Insane. Hit into double play though,positive,1.0,standing ovation wieters nobody sitting insane hit double play though
7464,Averaged $31 per hour at work today! Gotta love holidays,positive,1.0,averaged per hour work today gotta love holiday
7466, congratss to them,positive,1.0,congratss
7467,"Its not looking too good outside  if this continues, i feel a movie night coming on...",negative,0.0,looking good outside continues feel movie night coming
7468, I know... It was just a joke... all in good fun...  some people get my humor & some don`t...,positive,1.0,know joke good fun people get humor dont
7469,"i`m thinking that tonight`s plans are not gonna happen. sigh...sadface. i shouldn`t be surprised, but i am.",negative,0.0,im thinking tonight plan gonna happen sighsadface shouldnt surprised
7470,loving life lately!!!!  Looking forward to going to see Samantha! Hanging out with Natalie right now!,positive,1.0,loving life lately looking forward going see samantha hanging natalie right
7472,Chilling out....now the boys have gone  Time To Relax,positive,1.0,chilling outnow boy gone time relax
7478," Oh ok,Thanks.Dont know where the courthouse id either,I`ll learn though.Any nkotb? Twitter stole my pic again  it hates me",negative,0.0,oh okthanksdont know courthouse id eitherill learn thoughany nkotb twitter stole pic hate
7480, I wish I couldn`t wrap my head around it  Hopefully it`ll wake up some people that say/think 'racism doesn`t exist anymore',positive,1.0,wish couldnt wrap head around hopefully itll wake people saythink racism doesnt exist anymore
7482, Bummer yo.  I`m starting up finals too soon...so I guess I`ll see you around the second week of June then.,negative,0.0,bummer yo im starting final soonso guess ill see around second week june
7484,Two fantastic shows in a row,positive,1.0,two fantastic show row
7485,"Mooorning! It`s Friday, and that`s terrific! Smile up!    :-|      :-D",positive,1.0,mooorning friday thats terrific smile
7486,At work... supposed to be a day off but too much work to get done for PLM World... sigh,negative,0.0,work supposed day much work get done plm world sigh
7487, I miss my cats.... But not on Sunday mornings! Mine did that to,negative,0.0,miss cat sunday morning mine
7489,shouldn`t have stayed up til almost 2 reading 'rules' but i did. such a good book. totally worth the sleep deprivation.,positive,1.0,shouldnt stayed til almost reading rule good book totally worth sleep deprivation
7491," Oh, that would be riveting TV!   Trips to the break room, coffee, toothpicks in the eyes to keep them open.",positive,1.0,oh would riveting tv trip break room coffee toothpick eye keep open
7492,"Finally, I got my teaching load confusion cleared. I will teach 3 third year sections but with a catch.",positive,1.0,finally got teaching load confusion cleared teach third year section catch
7493, I love finding regional groups of Twitterers! Glad I could connect you with a few new people,positive,1.0,love finding regional group twitterer glad could connect new people
7495, I`m having no luck either  Doing my nut in! Who are you hoping to see?,negative,0.0,im luck either nut hoping see
7496,Woke up from aspirating some stomach acid. I`m praying that I dont acid reflux  and that it was a one time thing,negative,0.0,woke aspirating stomach acid im praying dont acid reflux one time thing
7499, kill her,negative,0.0,kill
7500,Warren and Hannah are dead ... oh my godd!! Seriousslyyy this is a tragidy !,negative,0.0,warren hannah dead oh godd seriousslyyy tragidy
7501, Man it will be a sweep no worries,positive,1.0,man sweep worry
7502,_tastic Awww that is sweet,positive,1.0,tastic awww sweet
7503,"Shower is taken. It is in the room right by the bed. Yeasterday we had the shower on the balcony, with sea wiew, that was a bit nicer",positive,1.0,shower taken room right bed yeasterday shower balcony sea wiew bit nicer
7504,ive burned like a ginger kid in the sun. now my arms are red,negative,0.0,ive burned like ginger kid sun arm red
7505, soooo over ppl telling me they went to the tonite show!!!  Ive had dreams of meeting him  I`m embarrassd of that a lil LOL,negative,0.0,soooo ppl telling went tonite show ive dream meeting im embarrassd lil lol
7507,is sadly sitting at home when she could be going to a partyyyyy,negative,0.0,sadly sitting home could going partyyyyy
7509, Link didn`t work,negative,0.0,link didnt work
7510,is 99% sober at Brittney`s with Becky and Brit  <3,negative,0.0,sober brittneys becky brit
7511,"absolutely boiling! Got factor 50+ on! Must not turn orange, must not look like oompa lumpa... My left shoulder is burnt from yesterday",negative,0.0,absolutely boiling got factor must turn orange must look like oompa lumpa left shoulder burnt yesterday
7512, HIII!!!!  i`ve missed you  just bored....what about u?,negative,0.0,hiii ive missed boredwhat u
7515, Nite. Now I`m up n bored as opposed to almost sleep frm b 4,negative,0.0,nite im n bored opposed almost sleep frm b
7516,_x ah that`s annoying,negative,0.0,x ah thats annoying
7517,reunited and it feels so good,positive,1.0,reunited feel good
